Latitude,Longitude,state
34.86432933,-118.2911233,CA
34.85717912,-118.1536059,CA
35.290415,-119.115826,CA
38.92315245,-122.5999891,CA
38.95176239,-122.6413739,CA
39.0316579,-122.7052986,CA
39.01777136,-122.5715612,CA
39.05794648,-122.71112,CA
39.02534,-122.667855,CA
39.03514277,-122.5854056,CA
38.98144255,-122.8534185,CA
38.99712425,-122.8681801,CA
38.99712425,-122.8681801,CA
38.99712425,-122.8681801,CA
38.99798869,-122.8084263,CA
38.87493332,-122.7714322,CA
38.99712425,-122.8681801,CA
38.99712425,-122.8681801,CA
38.966686,-122.77646,CA
38.9087848,-122.7350839,CA
39.00475186,-122.8406662,CA
38.98256728,-122.8342773,CA
38.98256728,-122.8342773,CA
38.91305658,-122.7572476,CA
38.99712425,-122.8681801,CA
38.99712425,-122.8681801,CA
38.88312578,-122.7283045,CA
38.90519312,-122.8456104,CA
39.00615768,-122.8861465,CA
39.00615768,-122.8861465,CA
39.06539341,-122.9127216,CA
38.97406412,-122.89769,CA
39.01530708,-122.8749476,CA
38.99728511,-122.9007602,CA
38.85672996,-122.5346511,CA
38.822961,-122.5468444,CA
38.91211846,-122.656521,CA
38.89274942,-122.6065802,CA
38.91559577,-122.6519234,CA
38.90957438,-122.610395,CA
38.89798651,-122.5445753,CA
38.85869438,-122.6280345,CA
38.73546026,-122.6252489,CA
38.73563793,-122.5289008,CA
38.75583545,-122.6291411,CA
39.11366079,-122.8202469,CA
39.16124286,-122.9005128,CA
40.3494,-121.07142,CA
34.51992075,-118.3023441,CA
34.51718599,-118.3136792,CA
34.033763,-117.040299,CA
34.10735116,-117.9384821,CA
34.13854487,-117.746635,CA
34.64709385,-118.1662021,CA
34.71847094,-118.289081,CA
34.06499853,-118.469064,CA
34.1156119,-118.2630953,CA
34.06430129,-118.2235699,CA
34.00497046,-118.107461,CA
34.37997479,-118.5377673,CA
34.56296834,-118.1455376,CA
34.14573085,-118.145119,CA
34.4318909,-118.5836189,CA
34.4318909,-118.5836189,CA
34.4318909,-118.5836189,CA
34.4318909,-118.5836189,CA
34.4318909,-118.5836189,CA
34.4318909,-118.5836189,CA
34.04906501,-118.0321912,CA
39.0296075,-122.582891,CA
39.03925945,-122.6210897,CA
39.05794648,-122.71112,CA
38.99712425,-122.8681801,CA
38.95713139,-122.8420719,CA
38.88910764,-122.6045163,CA
38.78348294,-122.6916546,CA
37.998695,-122.286973,CA
38.28634581,-122.1231704,CA
34.0894427,-117.9253199,CA
34.520996,-117.951674,CA
34.08490351,-118.4696456,CA
38.48769218,-122.4267,CA
34.15412044,-118.8023742,CA
34.15353495,-118.8033788,CA
36.8728515,-120.1830766,CA
36.85854369,-119.9951994,CA
37.06921314,-120.1108781,CA
36.88922007,-119.9791309,CA
36.88025337,-119.9690709,CA
36.93351466,-120.1102576,CA
36.88079139,-119.9734675,CA
36.93832485,-120.1102159,CA
36.98190103,-120.1511423,CA
37.03430353,-120.0335359,CA
36.94999129,-120.0706554,CA
36.974268,-120.002242,CA
36.9123282,-120.0741032,CA
36.958261,-120.070035,CA
36.88037095,-119.9401753,CA
36.92051792,-120.0466828,CA
37.16435112,-119.6480245,CA
37.3453898,-119.642025,CA
37.90473239,-122.6956555,CA
38.103524,-122.616201,CA
38.08936139,-122.7682439,CA
38.0238008,-122.6645811,CA
38.10900436,-122.5982995,CA
38.07330118,-122.5385842,CA
38.0731551,-122.5356065,CA
38.07487652,-122.5403386,CA
38.07283956,-122.5375957,CA
38.07821518,-122.8051249,CA
38.09167632,-122.8194378,CA
38.00233086,-122.577588,CA
37.97339003,-122.5626392,CA
37.87343729,-122.4572952,CA
37.54994382,-120.1001354,CA
37.4975022,-119.8539759,CA
37.483473,-119.905335,CA
37.53563351,-119.9739835,CA
37.49648645,-119.9146838,CA
39.004096,-123.358036,CA
39.03747933,-123.3543974,CA
39.00493529,-123.3633738,CA
39.004096,-123.358036,CA
39.70527644,-123.319017,CA
39.13318286,-123.6483485,CA
39.11940814,-123.5966913,CA
39.59179094,-123.7796412,CA
38.96149123,-123.1194423,CA
38.97418175,-123.1159558,CA
38.96149123,-123.1194423,CA
38.983549,-123.11474,CA
38.983549,-123.11474,CA
38.983549,-123.11474,CA
38.96149123,-123.1194423,CA
38.96149123,-123.1194423,CA
38.95921123,-123.1218626,CA
38.983549,-123.11474,CA
38.983549,-123.11474,CA
38.983549,-123.11474,CA
38.983549,-123.11474,CA
38.983549,-123.11474,CA
38.983549,-123.11474,CA
39.01714829,-123.1178909,CA
38.983549,-123.11474,CA
38.983549,-123.11474,CA
38.983549,-123.11474,CA
38.96380394,-123.0968288,CA
38.983549,-123.11474,CA
38.9576211,-123.1093385,CA
38.9455538,-123.1255056,CA
39.83436199,-123.5456236,CA
39.69325393,-123.5167855,CA
39.731538,-123.505679,CA
39.13911116,-123.5030139,CA
39.09767656,-123.4848325,CA
39.111417,-123.51519,CA
39.111417,-123.51519,CA
39.111417,-123.51519,CA
39.111417,-123.51519,CA
39.11723933,-123.5146742,CA
38.479575,-122.750548,CA
39.14580535,-123.4603221,CA
39.08246706,-123.4722464,CA
39.09589832,-123.4833645,CA
39.111417,-123.51519,CA
39.10320319,-123.4932193,CA
39.05744831,-123.4312673,CA
39.111417,-123.51519,CA
39.10899305,-123.5033804,CA
39.111417,-123.51519,CA
39.07640018,-123.4621628,CA
39.12873134,-123.5143879,CA
39.12785249,-123.5181199,CA
39.07242777,-123.4573892,CA
39.10723436,-123.5006842,CA
38.94379573,-123.5498878,CA
39.33178973,-123.1006709,CA
39.33862777,-123.1117864,CA
39.35953882,-123.1301669,CA
39.34220094,-123.1425409,CA
39.32485077,-123.1405696,CA
39.27787076,-123.0875594,CA
39.25670884,-123.235887,CA
39.25681558,-123.2365192,CA
39.2462986,-123.2054694,CA
39.25681558,-123.2365192,CA
39.26066677,-123.2194832,CA
39.27427893,-123.2614241,CA
39.33642539,-123.2292442,CA
39.29171914,-123.2316908,CA
39.280802,-123.212931,CA
39.280802,-123.212931,CA
39.33550858,-123.2253876,CA
39.26018507,-123.222447,CA
39.29176078,-123.2062024,CA
39.29925867,-123.2063159,CA
39.24066331,-123.1697073,CA
39.19180562,-123.2114558,CA
39.152661,-123.202275,CA
39.08690367,-123.1888957,CA
39.07318622,-123.1533408,CA
39.09168749,-123.16414,CA
39.12849552,-123.1524279,CA
39.152661,-123.202275,CA
39.09708444,-123.1879769,CA
39.152661,-123.202275,CA
39.152661,-123.202275,CA
39.152661,-123.202275,CA
39.12790031,-123.1608888,CA
39.19180562,-123.2114558,CA
39.19180562,-123.2114558,CA
39.19180562,-123.2114558,CA
39.152661,-123.202275,CA
39.21537541,-123.0780141,CA
39.04847337,-123.167043,CA
39.12648331,-123.1996414,CA
39.17987319,-123.2076827,CA
39.152661,-123.202275,CA
39.152661,-123.202275,CA
39.152661,-123.202275,CA
39.152661,-123.202275,CA
39.152661,-123.202275,CA
39.19371828,-123.2163783,CA
39.19180562,-123.2114558,CA
39.152661,-123.202275,CA
39.152661,-123.202275,CA
38.9438862,-123.3192305,CA
38.89625,-123.229549,CA
38.9438862,-123.3192305,CA
38.89625,-123.229549,CA
38.89625,-123.229549,CA
37.37413584,-120.8227999,CA
37.31740404,-120.3670382,CA
37.299167,-120.474945,CA
42.052488,-120.234489,CA
35.755566,-120.978715,CA
36.52889446,-121.8206076,CA
36.40109577,-121.6571427,CA
36.39824968,-121.6207855,CA
36.40404451,-121.6620361,CA
36.4036421,-121.6580114,CA
36.44849887,-121.6780032,CA
36.54222978,-121.7552709,CA
36.47603378,-121.716085,CA
36.38420938,-121.6020166,CA
36.39220599,-121.6395047,CA
36.47520715,-121.7171381,CA
36.39136584,-121.6238925,CA
36.41535043,-121.6700796,CA
36.39366,-121.67502,CA
36.39366,-121.67502,CA
36.39366,-121.67502,CA
36.40404451,-121.6620361,CA
36.40404451,-121.6620361,CA
36.38132161,-121.5934433,CA
36.4847473,-121.7380235,CA
36.5378103,-121.7638447,CA
36.517063,-121.430276,CA
36.50081203,-121.4339301,CA
36.517063,-121.430276,CA
36.27362583,-121.1937974,CA
36.27362583,-121.1937974,CA
36.2925262,-121.301676,CA
36.32181667,-121.2575568,CA
36.2611754,-121.4169183,CA
36.30544653,-121.4742713,CA
36.26844326,-121.3884121,CA
